path,class,subject_id,source,filename,split
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-1.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-1.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-10.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-10.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-11.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-11.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-12.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-12.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-13.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-13.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-14.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-14.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-15.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-15.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-16.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-16.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-17.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-17.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-18.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-18.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-19.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-19.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-2.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-2.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-20.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-20.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-21.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-21.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-22.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-22.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-23.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-23.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-24.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-24.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-3.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-3.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-4.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-4.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-5.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-5.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-6.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-6.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-7.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-7.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-8.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-8.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0254-10hay-Generated-9.jpg,1-Hay,0254,augmented,s0254-10hay-Generated-9.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1801.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1801.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1802.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1802.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1803.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1803.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1804.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1804.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1805.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1805.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1806.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1806.jpg,train
C:\Users\atiqu\Downloads\Compressed\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language_3\UAlpha40 A Comprehensive Dataset of Urdu alphabets for Pakistan Sign Language\1-Hay-Augmented\s0257-10hay-Generated-1807.jpg,1-Hay,0257,augmented,s0257-10hay-Generated-1807.jpg,train
